RespondentNumber,Task,Concept,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Response
66,1,1,1,1,1,1,1,1,1,1,0
66,1,2,2,1,1,1,1,1,3,2,0
66,1,3,3,1,5,2,2,1,3,2,1
66,1,4,1,2,1,1,1,1,2,1,0
66,1,5,2,1,2,1,2,1,2,2,0
66,1,6,3,1,5,1,3,1,4,3,0
66,1,7,0,0,0,0,0,0,0,0,0
66,2,1,1,1,1,1,1,1,2,1,0
66,2,2,2,1,1,1,1,1,2,1,0
66,2,3,3,1,2,1,3,1,2,3,0
66,2,4,1,2,3,1,1,1,1,1,0
66,2,5,2,1,2,1,2,1,3,1,0
66,2,6,3,3,2,2,3,2,2,4,1
66,2,7,0,0,0,0,0,0,0,0,0
66,3,1,1,1,2,1,1,1,1,1,0
66,3,2,2,1,2,1,1,1,3,2,0
66,3,3,3,1,3,2,2,1,2,3,0
66,3,4,1,1,3,1,1,1,1,1,0
66,3,5,2,3,5,1,1,1,4,2,0
66,3,6,3,1,6,2,3,2,4,4,1
66,3,7,0,0,0,0,0,0,0,0,0
66,4,1,1,1,1,1,1,1,1,1,0
66,4,2,2,1,2,1,2,1,2,1,0
66,4,3,3,1,5,2,3,2,4,2,1
66,4,4,1,1,2,1,1,1,1,1,0
66,4,5,2,3,1,1,1,1,2,1,0
66,4,6,3,1,2,1,2,2,2,4,0
66,4,7,0,0,0,0,0,0,0,0,0
66,5,1,1,1,2,1,1,1,2,1,0
66,5,2,2,1,2,1,1,1,4,2,0
66,5,3,3,1,5,1,3,1,4,2,1
66,5,4,1,2,1,1,1,1,2,1,0
66,5,5,2,3,3,1,1,1,3,2,0
66,5,6,3,3,3,1,3,1,3,3,0
66,5,7,0,0,0,0,0,0,0,0,0
66,6,1,1,1,2,1,1,1,1,1,0
66,6,2,2,1,3,1,2,1,3,1,0
66,6,3,3,1,5,1,3,2,2,3,1
66,6,4,1,3,2,1,1,1,1,1,0
66,6,5,2,1,5,1,2,1,3,2,0
66,6,6,3,3,3,1,2,1,3,4,0
66,6,7,0,0,0,0,0,0,0,0,0
66,7,1,1,1,2,1,1,1,1,1,0
66,7,2,2,1,3,1,2,1,4,1,0
66,7,3,3,1,3,2,3,2,4,4,1
66,7,4,1,3,3,1,1,1,2,1,0
66,7,5,2,3,1,1,2,1,2,1,0
66,7,6,3,3,4,2,3,2,4,4,0
66,7,7,0,0,0,0,0,0,0,0,0
66,8,1,1,1,2,1,1,1,2,1,0
66,8,2,2,1,3,1,2,1,2,1,0
66,8,3,3,1,2,2,2,2,3,1,0
66,8,4,1,3,1,1,1,1,2,1,0
66,8,5,2,3,3,1,2,1,4,2,0
66,8,6,3,1,6,2,2,1,2,3,1
66,8,7,0,0,0,0,0,0,0,0,0
66,9,1,1,1,1,1,1,1,2,1,0
66,9,2,2,1,1,1,2,1,4,1,0
66,9,3,3,1,3,1,2,2,3,2,1
66,9,4,1,1,2,1,1,1,2,1,0
66,9,5,2,1,2,1,1,1,4,2,0
66,9,6,3,3,1,2,2,2,3,4,0
66,9,7,0,0,0,0,0,0,0,0,0
66,10,1,1,1,1,1,1,1,1,1,0
66,10,2,2,1,3,1,2,1,2,1,0
66,10,3,3,1,5,2,3,2,2,2,0
66,10,4,1,3,1,1,1,1,1,1,0
66,10,5,2,3,5,1,1,1,4,1,0
66,10,6,3,1,1,2,3,2,3,3,1
66,10,7,0,0,0,0,0,0,0,0,0
77,1,1,1,1,1,1,1,1,1,1,0
77,1,2,2,1,1,1,1,1,3,2,0
77,1,3,3,1,5,2,2,1,3,2,0
77,1,4,1,2,1,1,1,1,2,1,0
77,1,5,2,1,2,1,2,1,2,2,1
77,1,6,3,1,5,1,3,1,4,3,0
